day_month;JL_mean;Jtot_mean;thetao_mean
01-gen;0,178977812;3594991599464346;14,25365204
02-gen;0,178909295;3565746236439450;14,21504508
03-gen;0,179251692;3538992612234957;14,17639604
04-gen;0,179993592;3512751517950669;14,13339812
05-gen;0,180630833;3485272763919463;14,09434518
06-gen;0,18156962;3457947108709120;14,0604012
07-gen;0,183371739;3430695841872947;14,02758982
08-gen;0,185660725;3406282873738752;13,9975827
09-gen;0,188303253;3385238741463757;13,96750461
10-gen;0,191284747;3366724279424333;13,94022427
11-gen;0,194585499;3347880706160461;13,91509185
12-gen;0,197973794;3329639709349863;13,88887194
13-gen;0,201836065;3313865153881677;13,85835373
14-gen;0,206147927;3298207153242547;13,83020606
15-gen;0,210160421;3281414320317645;13,80203742
16-gen;0,213760961;3263941099917722;13,76930505
17-gen;0,217244832;3246382794346880;13,73752719
18-gen;0,220792937;3229937205933568;13,71000349
19-gen;0,223918943;3218529070294528;13,6818102
20-gen;0,226418049;3208329025436954;13,6590124
21-gen;0,229102319;3194348049899008;13,63274004
22-gen;0,231852027;3179889197990272;13,60391023
23-gen;0,23418728;3165818270854042;13,57093085
24-gen;0,235846758;3152800407395175;13,54057022
25-gen;0,236993052;3144049483616435;13,50583227
26-gen;0,237048648;3135372121800551;13,47427761
27-gen;0,236749724;3125225797041511;13,44468526
28-gen;0,237120566;3114829615158170;13,41999835
29-gen;0,237843323;3103934468139239;13,39895685
30-gen;0,239029584;3091267851792640;13,37547104
31-gen;0,240533834;3080931819597491;13,34901633
01-feb;0,242059538;3072005372565018;13,32181649
02-feb;0,243649203;3065391641404570;13,29672059
03-feb;0,246197069;3061401434033690;13,28126063
04-feb;0,24976919;3054977336369459;13,26261813
05-feb;0,253467626;3047152257658727;13,24708903
06-feb;0,257118085;3040183416661056;13,22673778
07-feb;0,261087281;3035459805792730;13,20642038
08-feb;0,264763148;3036153713998707;13,19270735
09-feb;0,266942139;3042519520668352;13,1767399
10-feb;0,267418396;3048654145640115;13,15918598
11-feb;0,267792239;3048934913608883;13,14466322
12-feb;0,268573679;3047064689132749;13,12855482
13-feb;0,269663798;3050481837748736;13,11302492
14-feb;0,271458306;3054104071735616;13,09734201
15-feb;0,27326282;3059525440309120;13,08336915
16-feb;0,274057495;3068156394920077;13,0690262
17-feb;0,27491617;3076258992563815;13,05691522
18-feb;0,276481264;3081473106605773;13,04555032
19-feb;0,278337422;3085996595149645;13,03150576
20-feb;0,280033287;3094179849068954;13,023931
21-feb;0,281516615;3101268384075034;13,01575036
22-feb;0,283019142;3107161191458829;13,00844442
23-feb;0,283573854;3117275697760615;12,99861976
24-feb;0,284099707;3127496391321267;12,98834514
25-feb;0,285427865;3136247056359680;12,98348185
26-feb;0,287037342;3142511234653133;12,97650089
27-feb;0,288701217;3148299537987891;12,97104397
28-feb;0,290099873;3157552642458074;12,96869773
01-mar;0,291623292;3052636639176909;12,96667193
02-mar;0,291290055;3172159496895232;12,96794419
03-mar;0,289522027;3189728785565786;12,97363481
04-mar;0,287345662;3208459829282458;12,97640526
05-mar;0,286158678;3228964488829363;12,97450692
06-mar;0,28587965;3251169596715469;12,96915567
07-mar;0,286502465;3275284351880922;12,96307791
08-mar;0,287615996;3299336552565159;12,95727034
09-mar;0,289118874;3324033150618810;12,95551194
10-mar;0,291133167;3348927794930451;12,95780704
11-mar;0,293168341;3376596182001863;12,96273721
12-mar;0,294900265;3408711676539949;12,96875602
13-mar;0,296294955;3442458394980883;12,98051994
14-mar;0,297866716;3480194052477389;12,99461639
15-mar;0,299199072;3520480857341594;13,00686539
16-mar;0,300753045;3565736265446087;13,02328332
17-mar;0,303032186;3618171865833466;13,04014928
18-mar;0,305752018;3671101186045868;13,05389324
19-mar;0,308990843;3722049556190266;13,06616601
20-mar;0,313484381;3774986966526877;13,07952286
21-mar;0,318864964;3832431602759362;13,09039499
22-mar;0,32423097;3888384209039465;13,10219581
23-mar;0,328789498;3949746707643095;13,11192994
24-mar;0,332537548;4014903636703437;13,1228236
25-mar;0,335990107;4072309739587047;13,1336886
26-mar;0,33989823;4129428865566874;13,14908158
27-mar;0,344320768;4201655013290048;13,16510879
28-mar;0,349258658;4281613535450483;13,17648949
29-mar;0,353780407;4361924801380906;13,19675878
30-mar;0,357689482;4447269856429242;13,21915345
31-mar;0,362240814;4535418778543971;13,24378054
01-apr;0,367369123;4623925822873030;13,26661764
02-apr;0,373039378;4715675517166490;13,29189773
03-apr;0,378709232;4815012976503974;13,3140592
04-apr;0,385106019;4928294310769536;13,33565209
05-apr;0,391402622;5044714669063360;13,35799392
06-apr;0,396520411;5154062812915661;13,38445397
07-apr;0,401259653;5259921738565914;13,40531655
08-apr;0,406087429;5373229155525005;13,42794695
09-apr;0,410897215;5496445536752166;13,45237907
10-apr;0,416232749;5620641923033613;13,47736429
11-apr;0,422240526;5754009556607667;13,50442536
12-apr;0,427960578;5895116428057312;13,52940749
13-apr;0,433136765;6040153310125325;13,5550489
14-apr;0,438358594;6185338507302746;13,58215995
15-apr;0,443791466;6327595530912448;13,60655842
16-apr;0,449740146;6466932331357286;13,6327837
17-apr;0,456853739;6615417883392883;13,65827132
18-apr;0,464325294;6767082722521856;13,6865868
19-apr;0,471615346;6906446331806771;13,71843254
20-apr;0,477744276;7040747157105715;13,75256417
21-apr;0,483288907;7174620283931853;13,78479165
22-apr;0,488199356;7308188376874394;13,81883393
23-apr;0,492950184;7440056189390490;13,85520657
24-apr;0,49764265;7573362125273190;13,89246481
25-apr;0,502532518;7705104691170304;13,92717171
26-apr;0,506538063;7832330669056000;13,96527175
27-apr;0,508773166;7954570556519526;14,00092517
28-apr;0,50947014;8069636845639373;14,04104415
29-apr;0,50992767;8165123816688435;14,07826491
30-apr;0,510867555;8252596077983744;14,11873864
01-mag;0,512055334;8340918648943206;14,16037807
02-mag;0,513205885;8427723823008358;14,20325239
03-mag;0,51358391;8508150961556480;14,2467084
04-mag;0,513892392;8584816365163725;14,29180702
05-mag;0,514944701;8649683161758720;14,33332896
06-mag;0,516470214;8706662441696051;14,37441424
07-mag;0,51812425;8762221724834611;14,41696887
08-mag;0,519659049;8817882213172224;14,46373394
09-mag;0,52132668;8873677071340749;14,50936548
10-mag;0,522831116;8926609250680832;14,55632361
11-mag;0,523060893;8981502717802701;14,60454179
12-mag;0,524111621;9034473386774324;14,64928014
13-mag;0,526254306;9083410654435124;14,69094262
14-mag;0,528780025;9130494789431296;14,734897
15-mag;0,531105697;9173029287637606;14,77610163
16-mag;0,533331282;9214161838117478;14,81314856
17-mag;0,535337344;9257326908917964;14,85430698
18-mag;0,536280482;9304168289266484;14,89625105
19-mag;0,53763071;9353828092398796;14,93767709
20-mag;0,53894354;9399519311632180;14,98049941
21-mag;0,540408192;9442623995707802;15,02003461
22-mag;0,542249377;9482647589470618;15,06175378
23-mag;0,544548739;9520367883285094;15,10807162
24-mag;0,545774992;9555475437637632;15,15310265
25-mag;0,545520673;9589809421740032;15,20169898
26-mag;0,54553711;9627993571203892;15,24983724
27-mag;0,545924893;9660331911360512;15,29643543
28-mag;0,546492127;9689926067366298;15,34320731
29-mag;0,547068814;9718010634439884;15,38427552
30-mag;0,547836712;9740074295754138;15,42635391
31-mag;0,547987974;9754537052910388;15,46974929
01-giu;0,547512924;9771333369509888;15,50720784
02-giu;0,547652901;9789408970903756;15,54677039
03-giu;0,547931013;9804329568162406;15,59207026
04-giu;0,548691267;9820721914918502;15,63548818
05-giu;0,549180025;9834263041515724;15,67827236
06-giu;0,549699416;9845304787071386;15,72099096
07-giu;0,549512589;9854813399580262;15,76592903
08-giu;0,548304304;9864302670406246;15,81090622
09-giu;0,547011699;9869567261756416;15,86162334
10-giu;0,545271194;9870170871408026;15,90642978
11-giu;0,543709828;9874036904205312;15,9513084
12-giu;0,542435973;9873858692581172;15,99435316
13-giu;0,541154897;9873619133340672;16,0374981
14-giu;0,538930321;9871535627986534;16,07733277
15-giu;0,536077784;9869399971637248;16,1160193
16-giu;0,534061298;9869657213200588;16,15521347
17-giu;0,53227261;9868910417567744;16,1966053
18-giu;0,531167016;9868671075025100;16,23887823
19-giu;0,529914522;9868905245022208;16,28034131
20-giu;0,528639637;9869496046232166;16,31489436
21-giu;0,526725934;9866559181475430;16,35195203
22-giu;0,524178479;9865594625938636;16,38960451
23-giu;0,522455619;9863745870704230;16,4287454
24-giu;0,520830651;9858494399135540;16,46846577
25-giu;0,519506301;9857555274882048;16,505722
26-giu;0,518434669;9851992350461542;16,54014533
27-giu;0,517644256;9844311807355700;16,57208784
28-giu;0,516379801;9834221557298176;16,60526105
29-giu;0,514444788;9823680389230592;16,6418789
30-giu;0,513039344;9814233421205708;16,68066428
01-lug;0,511651072;9799638979286220;16,720966
02-lug;0,510888872;9784580503042868;16,75982176
03-lug;0,510289994;9771063272967168;16,80094835
04-lug;0,509948885;9761472896427622;16,8395571
05-lug;0,509350688;9753504213912166;16,87668248
06-lug;0,50798631;9749522222529126;16,90959163
07-lug;0,506414222;9748989048143258;16,94077191
08-lug;0,504786839;9745386236781978;16,97250121
09-lug;0,503409544;9742406280553268;17,00307495
10-lug;0,501934256;9736896070194380;17,03540124
11-lug;0,500456957;9732980591516058;17,0639991
12-lug;0,498835964;9731525443490816;17,0895179
13-lug;0,497142498;9732759461993882;17,11709478
14-lug;0,49598663;9733257201639014;17,14664521
15-lug;0,494652372;9734102725063680;17,17354384
16-lug;0,493623436;9734130518828852;17,19457043
17-lug;0,49283178;9729997137750630;17,21612532
18-lug;0,491986632;9728333333418394;17,2440848
19-lug;0,490595288;9725421109634662;17,27241656
20-lug;0,488524694;9722599261500212;17,30043377
21-lug;0,486555687;9719113350125364;17,32899589
22-lug;0,484389484;9709608161486644;17,35581574
23-lug;0,482446006;9699532359619584;17,3845347
24-lug;0,480517911;9690164248496742;17,40996394
25-lug;0,478503898;9678723506986188;17,43367167
26-lug;0,476076464;9659460274519860;17,45843305
27-lug;0,473663999;9640156836355686;17,48123265
28-lug;0,471869017;9626311094473728;17,5061862
29-lug;0,470004845;9607049232447284;17,53023372
30-lug;0,46837156;9585940754837094;17,55337212
31-lug;0,466681962;9562716989262234;17,57446204
01-ago;0,464920889;9533876832618292;17,58790849
02-ago;0,462849917;9499511919967028;17,61001446
03-ago;0,460327419;9471027288053146;17,63572928
04-ago;0,45817961;9444476709713510;17,65763246
05-ago;0,456109546;9408627008258458;17,67743566
06-ago;0,454386222;9373019197565952;17,69490607
07-ago;0,452717045;9337214263252172;17,71238144
08-ago;0,451389221;9299352853610496;17,73580331
09-ago;0,449837713;9262070857900236;17,75923932
10-ago;0,447604576;9225471601288806;17,77154435
11-ago;0,44530093;9187281684402380;17,77941339
12-ago;0,44297013;9144136204062310;17,78349717
13-ago;0,440716646;9099235744947200;17,79764448
14-ago;0,438399806;9054724144067994;17,81525514
15-ago;0,436205404;9012231143017268;17,83462672
16-ago;0,433873071;8963894742947840;17,84767047
17-ago;0,431328335;8914211715124224;17,86031609
18-ago;0,429233256;8865017476954317;17,87205214
19-ago;0,427248513;8814122743465574;17,8883741
20-ago;0,425441843;8764718041573171;17,90373528
21-ago;0,423514394;8714258958405018;17,91682872
22-ago;0,421827996;8663501924253696;17,92658125
23-ago;0,419851066;8610533503456461;17,93387582
24-ago;0,41741842;8558903970564096;17,94225492
25-ago;0,415235887;8512853936237773;17,95587064
26-ago;0,413250308;8465531649191322;17,96411713
27-ago;0,411385387;8417296381596058;17,97125365
28-ago;0,409513157;8368459541753856;17,97149452
29-ago;0,40778313;8322829490883174;17,9649429
30-ago;0,405787799;8277982343198310;17,96145709
31-ago;0,403333684;8233479340793037;17,9541722
01-set;0,401096814;8189096590105395;17,94576476
